Time,Amplitude
0.0,0.09905186339108688
0.002,0.19857458149283083
0.004,0.10835226251966425
0.006,-0.07478091051842577
0.008,-0.16679634474543753
0.01,-0.08257944350590583
0.012,0.08845293878886112
0.014,0.17922677334943654
0.016,0.11630400992238422
0.018,-0.02301788045688046
0.02,-0.10187218950916287
0.022,-0.06802427943608852
0.024,0.01823735666644223
0.026,0.05760950376525716
0.028,0.02036515382713698
0.03,-0.045213176839035425
0.032,-0.07838159770813843
0.034,-0.06963439905203166
0.036,-0.05292329194977037
0.038,-0.05759148756470494
0.04,-0.07375728060117265
0.042,-0.07689217283263394
0.044,-0.06655566655964452
0.046,-0.06309806275189815
0.048,-0.08021909064605849
0.05,-0.10203169659130032
0.052,-0.10290798985464068
0.054,-0.07622748012863774
0.056,-0.05002880516840352
0.058,-0.051779600784325454
0.06,-0.08250798998444736
0.062,-0.11336904445011033
0.064,-0.11968353095568109
0.066,-0.10103383668674297
0.068,-0.07970515465531738
0.07,-0.07166611637947316
0.072,-0.07714677315792366
0.074,-0.08511715367155571
0.076,-0.08996413145398514
0.078,-0.0946797305901109
0.08,-0.09916583711668321
0.082,-0.09945376441297071
0.084,-0.09102745735968477
0.086,-0.07952921030343942
0.088,-0.07663004636798044
0.09,-0.08374165706886612
0.092,-0.09194940776448698
0.094,-0.08916123514216417
0.096,-0.07676103973274889
0.098,-0.0699660481956268
0.1,-0.07856266601094482
0.102,-0.09859682865310174
0.104,-0.11621526853039803
0.106,-0.12508837846605514
0.108,-0.1304978430700443
0.11,-0.13438548984890197
0.112,-0.13093360457019948
0.114,-0.1059839861663209
0.116,-0.05844919528509688
0.118,0.0010515726703687776
0.12,0.05836546903423384
0.122,0.11951151961984444
0.124,0.20337369188731544
0.126,0.32260783943139737
0.128,0.46023103119975145
0.13,0.5795272787498095
0.132,0.6505073942878536
0.134,0.6761667424488071
0.136,0.6774073375457583
0.138,0.6707888692191776
0.14,0.6473346162671217
0.142,0.5808834858810611
0.144,0.45641889883410297
0.146,0.2824955288123602
0.148,0.08631969668921119
0.15,-0.09773672935454818
0.152,-0.24256590790186844
0.154,-0.337775196609032
0.156,-0.38741353854903937
0.158,-0.4070698046560996
0.16,-0.4172618274047242
0.162,-0.4231493165143201
0.164,-0.4182090582030334
0.166,-0.38952160735772157
0.168,-0.33786334716563843
0.17,-0.28612289057271956
0.172,-0.2599569041059599
0.174,-0.26543610621000796
0.176,-0.281356861327496
0.178,-0.2772443478941983
0.18,-0.24128995677167003
0.182,-0.1910943748983521
0.184,-0.14970201148057363
0.186,-0.1300349091085561
0.188,-0.12232677096027617
0.19,-0.113561470443248
0.192,-0.09933804746367211
0.194,-0.08442607138667282
0.196,-0.0747090126464323
0.198,-0.06895367606091458
0.2,-0.06733772394109426
0.202,-0.074177948427526
0.204,-0.08948805739496987
0.206,-0.10429459488622855
0.208,-0.10119357429202062
0.21,-0.0734714696116935
0.212,-0.036964644086854
0.214,-0.019144665122793714
0.216,-0.03210417190732663
0.218,-0.0634113205909141
0.22,-0.08182551638927857
0.222,-0.07019017968827743
0.224,-0.04139875091780951
0.226,-0.02173150393816671
0.228,-0.027559056566344085
0.23,-0.04613922100203561
0.232,-0.05641639928364295
0.234,-0.047608326625760186
0.236,-0.03144503909489121
0.238,-0.022724556557744975
0.24,-0.02447026079981781
0.242,-0.03003386340179715
0.244,-0.03218448070165688
0.246,-0.032733474866408215
0.248,-0.03582797675073785
0.25,-0.03667770845295081
0.252,-0.02989643508726084
0.254,-0.01387752921267833
0.256,-0.0012681927861283792
0.258,-0.0034692363107018185
0.26,-0.02256556938958677
0.262,-0.041293828084398444
0.264,-0.043791229736061005
0.266,-0.028708270717452137
0.268,-0.008329626560463642
0.27,-0.0009541717747357801
0.272,-0.006559550669716194
0.274,-0.017040590479134542
0.276,-0.019539298740557383
0.278,-0.012559952652187008
0.28,-0.0018420461602587004
0.282,0.00833105167182206
0.284,0.0124391198806623
